customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MonthlyIncome,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn,CustomerFeedback,feedback_length,feedback_word_count,has_negative_keywords,charge_income_ratio,avg_monthly_spend,is_new_customer,is_loyal_customer,total_services,has_premium_services,is_month_to_month,is_paperless_electronic
4578-PHJYZ,0,1,1,52.0,1,1,68.75,3482.85,6532,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False,0,"I have been a customer with this internet provider for over four years Now and I have been satisfied with the service. The DSL internet is reliable and I have had No issues with connectivity. The monthly charges of $68.75 are reasonable for the service I receive. I appreciate the convenience of paying with electronic check. Overall, I am happy with my experience and have No plans to switch providers.",403,70,1,0.010525107164727496,65.71415094339622,0,0,6,1,0,1
6289-CPNLD,0,1,1,33.0,1,1,73.9,2405.05,7634,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,True,1,"I've been a customer with this company for over 2 and a half years Now, and unfortunately I have decided to churn. The DSL internet service was reliable for the most part, but the monthly charges of $73.9 were a bit steep for the quality of service I was receiving. Additionally, having to mail in a check for payment was inconvenient and outdated. I ultimately decided to switch to a different provider that offered better value and more modern payment options.",462,81,0,0.009680377259627981,70.73676470588236,0,0,6,1,0,0
2682-KEVRP,1,0,0,22.0,1,1,20.05,417.0,3628,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0,"I have been a customer with this company for 22 months Now and I have been satisfied with the service. I have Not experienced any issues with billing or service interruptions. The monthly charges are affordable at $20.05 and I appreciate being able to pay by mailing a check. The lack of internet service is Not a problem for me as I do Not require it. Overall, I am happy with my experience as a customer and have No complaints.",429,80,1,0.0055264608599779495,18.130434782608695,0,0,1,0,0,0
5697-GOMBF,1,1,1,28.0,0,1,35.9,973.65,7851,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0,"I have been a customer with this internet provider for 28 months Now and I have been very satisfied with the service. The monthly charges are reasonable at $35.9 and I appreciate the convenience of paying with electronic check. The DSL internet service has been reliable and I have Not experienced any issues with connectivity. Overall, I am happy with my experience and have No plans to switch providers.",405,69,1,0.004572665902432811,33.574137931034485,0,0,2,0,1,1
9717-QEBGU,0,0,0,2.0,1,1,70.3,144.0,1691,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,"I have been using the fiber optic internet service for the past 2 months and I am very satisfied with the speed and reliability. The monthly charges of $70.3 are reasonable for the quality of service I am receiving. The electronic check payment method is convenient and hassle-free. Overall, I have had a positive experience with the service and have No plans to switch providers.",380,65,0,0.041573033707865165,48.0,1,0,2,0,1,1
6797-LNAQX,0,1,1,70.0,1,0,98.3,6859.5,5487,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,1,"I have been a customer with this company for 70 months and initially signed up for a two-year contract. I have been using their fiber optic internet service and have been satisfied with the speed and reliability. However, I recently decided to churn because I found a better deal with aNother provider. The monthly charges of $98.3 were reasonable for the service I received. I appreciated the convenience of automatic bank transfers for payment. Overall, my experience with this company was positive, but I ultimately decided to switch due to cost savings.",557,92,0,0.017915071988336067,96.61267605633803,0,1,5,0,0,0
3050-GBUSH,0,0,0,3.0,0,1,34.8,113.95,6382,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0,"I have been a customer with this DSL internet service provider for 3 months Now on a month-to-month contract. I am pleased to say that I have Not experienced any issues that would make me want to cancel my service (churn). The monthly charges of $34.8 are reasonable for the speed and reliability of the internet service. I appreciate the convenience of the automatic credit card payment method. Overall, I am satisfied with the service and plan to continue using it in the future.",481,84,1,0.005452836101535568,28.4875,1,0,2,0,1,0
8020-BWHYL,1,0,0,15.0,1,1,75.3,,353,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1,"I recently canceled my service with this provider after being a customer for 15 months on a month-to-month contract. The monthly charges were reasonable at $75.3 and I appreciated the convenience of automatic credit card payments. However, I decided to switch to a different provider for a better deal. The fiber optic internet service was reliable during my time with them, but ultimately I felt it was time for a change. Overall, I had a satisfactory experience with this provider.",483,80,0,0.21331444759206797,,0,0,3,0,1,0
6752-APNJL,0,1,1,42.0,1,0,54.5,2301.15,2436,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,"I have been a customer with this company for 42 months Now and have been on a month-to-month contract with DSL internet service. I have been satisfied with the service provided and have had No issues with my internet connection. The monthly charges of $54.5 are reasonable for the service received. I appreciate the option to pay by mailed check as it is convenient for me. Overall, I am happy with the service and have No plans to churn in the near future.",457,83,1,0.022372742200328408,53.51511627906977,0,0,4,1,1,0
1760-CAZHT,0,0,1,25.0,1,0,20.8,460.2,7049,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,"I have been a customer with this company for 25 months Now and have always been satisfied with the service. Even though I do Not have internet service with them, I appreciate the affordable monthly charges and the flexibility of the month-to-month contract. I prefer to pay by mailed check and have never had any issues with billing or payments. Overall, I have had a positive experience with this company and would recommend them to others.",441,76,1,0.002950773159313378,17.7,0,0,1,0,1,0
3070-FNFZQ,0,1,1,23.0,1,0,20.4,478.75,4625,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,"I have been a customer with this company for 23 months Now and I have been satisfied with their service. I have a two-year contract with monthly charges of $20.4, which I find to be reasonable. I do Not have internet service with them, but I have set up automatic bank transfers for payment, which has been convenient for me. Overall, I have had a positive experience with this company and have Not experienced any issues that would cause me to consider churning.",463,83,1,0.00441081081081081,19.947916666666668,0,0,1,0,0,0
4452-QIIEB,0,0,0,7.0,1,0,43.9,278.4,1204,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,"I have been a customer with this DSL internet service provider for 7 months Now on a month-to-month contract. I have Not experienced any issues with the service so far and have Not had any reasons to consider churning. The monthly charges of $43.9 are reasonable for the service provided. I prefer to pay my bills through mailed check and have Not had any problems with the payment process. Overall, I am satisfied with the service and would recommend it to others.",465,82,1,0.036461794019933554,34.8,0,0,2,0,1,0
7767-UXAGJ,0,0,0,1.0,1,1,50.45,50.45,5388,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,"I recently signed up for DSL internet service with this company on a month-to-month contract. Unfortunately, after just one month of service, I decided to cancel due to slow and unreliable internet speeds. The monthly charges of $50.45 were reasonable, but the service did Not meet my expectations. I also encountered issues with the electronic check payment method. Overall, I was disappointed with the experience and chose to churn.",434,69,1,0.0093634001484781,25.225,1,0,2,0,1,1
9793-WECQC,0,0,0,23.0,1,0,95.3,2192.9,6643,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,0,"I have been a customer with this company for almost two years Now and I have been very satisfied with the service. The fiber optic internet has been reliable and fast, and I have Not experienced any issues with connectivity. The monthly charges are reasonable for the quality of service I receive. Although I pay by mailing a check each month, the process has been smooth and I have Not had any problems with billing. Overall, I am happy with my experience and have No plans to switch providers.",495,89,1,0.014345928044558181,91.37083333333334,0,0,5,0,1,0
7029-IJEJK,0,0,0,54.0,0,0,44.1,2369.7,5176,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,0,"I have been a loyal customer of this DSL internet service provider for over four and a half years Now. The monthly charges are reasonable at $44.1 and I appreciate the convenience of automatic bank transfers for payment. I have had No issues with the service and have Not experienced any disruptions in my internet connection. Overall, I am satisfied with the service and plan to continue using it in the future.",412,72,1,0.008520092735703247,43.08545454545454,0,0,4,1,0,0
5419-JKZNQ,1,1,0,30.0,1,0,77.9,2351.45,3934,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,"I have been a customer with this internet service provider for 30 months Now and have been very satisfied with the fiber optic internet service. The speeds are consistently fast and reliable. The monthly charges of $77.90 are reasonable for the quality of service provided. I appreciate being able to pay by mailing a check each month, as it is convenient for me. Overall, I have had a positive experience with this provider and have No plans to churn.",452,79,0,0.019801728520589732,75.8532258064516,0,0,2,0,1,0
3351-NQLDI,0,1,1,67.0,1,1,94.35,6341.45,2645,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,1,"I have been a customer with this company for 67 months, and I am disappointed to say that I have decided to churn. While the fiber optic internet service was reliable and fast, I found that the monthly charges of $94.35 were too high for the value I was receiving. I had signed a one-year contract and had been paying automatically with my credit card, but I ultimately decided to switch to a more affordable provider. I would have appreciated more competitive pricing or incentives to stay with this company.",509,90,0,0.035671077504725895,93.25661764705882,0,1,5,1,0,0
1335-HQMKX,0,1,0,72.0,1,1,101.35,7323.15,419,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0,"I have been a loyal customer of this internet service provider for the past 6 years and have been very satisfied with their service. The fiber optic internet is fast and reliable, and I have never experienced any downtime. The monthly charges are reasonable at $101.35, and I appreciate the convenience of paying with electronic check. Overall, I have had a positive experience with this provider and would highly recommend them to others.",439,73,0,0.2418854415274463,100.31712328767122,0,1,6,1,0,1
4702-IOQDC,0,0,0,1.0,1,1,70.1,70.1,2000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,"I recently signed up for the fiber optic internet service with this company on a month-to-month contract. I was initially impressed with the speed and reliability of the internet connection. However, after only one month of service, I have decided to cancel due to the high monthly charges of $70.1. I found a more affordable option with a different provider. Overall, I was satisfied with the service quality but the pricing ultimately led to my decision to churn.",465,78,0,0.03505,35.05,1,0,2,0,1,1
