customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MonthlyIncome,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,CustomerFeedback,charge_income_ratio,avg_monthly_spend,is_new_customer,is_loyal_customer,total_services,has_premium_services,is_month_to_month,is_paperless_electronic,feedback_length,has_negative_keywords
4226-KKDON,0,0,0,8.0,1,1,66.65,520.95,1361,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,I have been a customer with this DSL provider for 8 months Now and I am overall satisfied with the service. The monthly charges are reasonable at $66.65 and I appreciate the convenience of the month-to-month contract. The internet service has been reliable and I have Not experienced any issues with connectivity. Using electronic check as my payment method has been smooth and hassle-free. I have Not experienced any reason to consider switching providers at this time.,0.04897134459955915,57.88333333333334,0,0,5,1,1,1,470,1
8838-GPHZP,0,0,0,63.0,1,1,20.6,1298.7,3850,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,"I have been a customer with this company for over 5 years and have been satisfied with their service. Even though I do Not have internet service with them, I find their monthly charges to be very reasonable at $20.6. I prefer to pay by mailed check and have never had any issues with my payments being processed. Overall, I have had a positive experience with this company and have No plans to switch to aNother provider.",0.005350649350649351,20.2921875,0,1,1,0,0,0,421,1
0320-JDNQG,0,1,1,23.0,1,1,99.85,2331.3,2736,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,"""I have been a customer with this fiber optic internet service provider for 23 months on a month-to-month contract. The monthly charges of $99.85 are reasonable for the high-speed internet I receive. However, I recently decided to cancel my service due to moving to a new area where this provider is Not available. The process of cancelling was smooth and easy, and I appreciated being able to pay with electronic check. Overall, I was satisfied with the service during my time as a customer.""",0.03649488304093567,97.1375,0,0,6,1,1,1,493,0
4837-PZTIC,0,0,0,47.0,0,0,41.9,,1139,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,"I have been a loyal customer for almost 4 years Now and have been satisfied with the DSL internet service provided by this company. The monthly charges are reasonable at $41.9 and I appreciate being able to pay by mailing a check. I have Not experienced any issues with my service and have No plans to churn in the near future. Overall, I am happy with the service provided.",0.03678665496049166,,0,0,4,1,0,0,374,1
7748-UMTRK,1,0,1,30.0,1,1,101.3,2974.5,5211,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,"I have been a customer with this company for 30 months on a month-to-month contract with No issues of churn. I am very satisfied with the fiber optic internet service provided, as it is reliable and fast. The monthly charges of $101.30 are reasonable for the quality of service I receive. I appreciate the convenience of paying with an electronic check. Overall, I am happy with my experience and would recommend this company to others.",0.019439646900786797,95.95161290322581,0,0,5,1,1,1,436,1
0823-HSCDJ,1,0,0,52.0,0,1,49.15,2550.9,8422,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,"I was a customer with this company for over four years on a month-to-month contract with DSL internet service. The monthly charges were reasonable at $49.15. However, I ultimately decided to churn and cancel my service. The service itself was reliable, but I found better deals with other providers. The payment method of electronic check was convenient and hassle-free. Overall, my experience with this company was satisfactory, but I ultimately chose to switch providers for better pricing.",0.005835905960579434,48.130188679245286,0,0,4,0,1,1,492,0
1085-LDWAM,0,1,1,69.0,1,1,20.35,1442.65,2812,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,"I have been a customer with this company for almost 6 years Now and I have never had any issues with them. The automatic credit card payment makes it easy for me to pay my bill on time every month. Even though I don't have internet service with them, the $20.35 monthly charge for the other services I receive is very reasonable. I have No plans to leave this company anytime soon.",0.007236842105263159,20.609285714285715,0,1,1,0,0,0,381,1
2786-GCDPI,1,0,0,50.0,1,1,104.95,5222.35,5397,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,"I have been a loyal customer of this company for over four years Now and I have been very satisfied with the service. The fiber optic internet is fast and reliable, and I have never experienced any major issues with connectivity. The monthly charges are reasonable for the quality of service provided. I appreciate the convenience of paying with electronic check. Overall, I have had a positive experience and would recommend this company to others.",0.019445988512136372,102.39901960784314,0,0,6,1,1,1,449,1
4001-TSBTV,0,1,1,58.0,1,1,91.55,,5415,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,"I have been a loyal customer of this company for almost 5 years Now and I have been very satisfied with their service. The fiber optic internet has been extremely reliable and fast, and I have never experienced any issues with connectivity. The monthly charges are reasonable at $91.55 and I appreciate the convenience of paying through electronic check. Overall, I am happy with my experience and have No plans to switch providers.",0.0169067405355494,,0,0,5,1,1,1,432,1
5196-WPYOW,0,1,1,67.0,1,0,60.05,3994.05,9115,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,"I have been a loyal customer of this DSL internet service provider for over 5 years Now and I have been very satisfied with their service. The monthly charges are reasonable at $60.05 and I appreciate the option to pay by mailed check. I have never experienced any issues with the service and have had a consistent and reliable internet connection throughout my tenure. Overall, I am very happy with this provider and would recommend them to others looking for a reliable DSL internet service.",0.006588041689522765,58.73602941176471,0,1,5,1,0,0,493,1
3508-CFVZL,0,0,0,71.0,1,0,111.3,7985.9,6171,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,"I have been a customer with this company for over 6 years and have been very satisfied with their service. The fiber optic internet has been reliable and fast, and I have had No issues with connectivity. The monthly charges are reasonable for the quality of service provided. The only downside is that I have to pay by mailed check, which can be a bit inconvenient. Overall, I have No complaints and would recommend this company to others.",0.0180359747204667,110.91527777777777,0,1,8,1,0,0,439,1
2796-NNUFI,0,1,1,46.0,1,1,19.95,927.1,2818,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,"I have been a customer with this company for almost 4 years Now and I have been very satisfied with the service. The monthly charges are very reasonable at $19.95 and I appreciate the option to pay by mailed check. Even though I do Not have internet service with this company, I have never experienced any issues with my contract or billing. Overall, I am happy with my experience as a long-time customer.",0.0070794889992902765,19.72553191489362,0,0,1,0,0,0,405,1
6925-BAYGL,1,1,0,53.0,1,0,25.1,1275.6,3410,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,"I have been a customer with this company for over four years and have been satisfied with the service. The automatic credit card payment option is convenient and hassle-free. Although I do Not have internet service with this company, the monthly charges are reasonable at $25.1. Overall, I have had a positive experience with this company and have No complaints.",0.007360703812316716,23.62222222222222,0,0,1,0,0,0,362,0
